Year,Vehicle Name,Vehicle Count,Base Model,EV Consumption(195 Wh/km),Carbon Emission
2010,Tesla Roadster,431,Tesla,150,1709.2769073270001
2010,Toyota Prius Plug-in,153,Toyota,188,2142.29372384984
2010,Mini Hardtop 2 Door EV,119,Mini,156,1777.6479836200801
2010,Ford Ranger,51,Ford,197,2244.85033828946
2011,Nissan Leaf,3638,Nissan,164,1868.8094186775202
2011,Chevrolet Volt,1320,Chevrolet,210,2392.9876702578003
2011,Tesla Roadster,557,Tesla,150,1709.2769073270001
2011,Toyota Prius Plug-in,162,Toyota,188,2142.29372384984
2011,Mini Hardtop 2 Door EV,92,Mini,156,1777.6479836200801
2012,Nissan Leaf,5899,Nissan,164,1868.8094186775202
2012,Chevrolet Volt,5712,Chevrolet,210,2392.9876702578003
2012,Toyota Prius Plug-in,4444,Toyota,188,2142.29372384984
2012,Tesla Roadster,575,Tesla,150,1709.2769073270001
2012,BMW Active E,515,BMW,161,1834.6238805309802
2013,Chevrolet Volt,14775,Chevrolet,210,2392.9876702578003
2013,Nissan Leaf,12845,Nissan,164,1868.8094186775202
2013,Toyota Prius Plug-in,9072,Toyota,188,2142.29372384984
2013,Tesla Model S,7291,Tesla,150,1709.2769073270001
2013,Ford C-Max Energi,1628,Ford,197,2244.85033828946
2014,Chevrolet Volt,23618,Chevrolet,210,2392.9876702578003
2014,Nissan Leaf,21623,Nissan,164,1868.8094186775202
2014,Toyota Prius Plug-in,21425,Toyota,188,2142.29372384984
2014,Tesla Model S,13114,Tesla,150,1709.2769073270001
2014,Ford Fusion Energi,6661,Ford,197,2244.85033828946
2015,Chevrolet Volt,30807,Chevrolet,210,2392.9876702578003
2015,Nissan Leaf,28351,Nissan,164,1868.8094186775202
2015,Toyota Prius Plug-in,25929,Toyota,188,2142.29372384984
2015,Tesla Model S,22936,Tesla,150,1709.2769073270001
2015,Fiat 500e,12152,Fiat,158,1800.43834238444
2016,Chevrolet Volt,41847,Chevrolet,210,2392.9876702578003
2016,Tesla Model S,34343,Tesla,150,1709.2769073270001
2016,Nissan Leaf,31694,Nissan,164,1868.8094186775202
2016,Toyota Prius Plug-in,26180,Toyota,188,2142.29372384984
2016,Ford Fusion Energi,16987,Ford,197,2244.85033828946
2017,Chevrolet Volt,54641,Chevrolet,210,2392.9876702578003
2017,Tesla Model S,47580,Tesla,150,1709.2769073270001
2017,Nissan Leaf,32853,Nissan,164,1868.8094186775202
2017,Toyota Prius Plug-in,26084,Toyota,188,2142.29372384984
2017,Ford Fusion Energi,22221,Ford,197,2244.85033828946
2018,Chevrolet Volt,62616,Chevrolet,210,2392.9876702578003
2018,Tesla Model S,55816,Tesla,150,1709.2769073270001
2018,Tesla Model 3,51950,Tesla,150,1709.2769073270001
2018,Nissan Leaf,32638,Nissan,164,1868.8094186775202
2018,Toyota Prius Plug-in,25400,Toyota,188,2142.29372384984
2019,Tesla Model 3,109791,Tesla,150,1709.2769073270001
2019,Chevrolet Volt,60523,Chevrolet,210,2392.9876702578003
2019,Tesla Model S,59798,Tesla,150,1709.2769073270001
2019,Toyota Prius Prime,35042,Toyota,188,2142.29372384984
2019,Nissan Leaf,31600,Nissan,164,1868.8094186775202
2020,Tesla Model 3,144311,Tesla,150,1709.2769073270001
2020,Tesla Model S,60869,Tesla,150,1709.2769073270001
2020,Chevrolet Volt,53743,Chevrolet,210,2392.9876702578003
2020,Toyota Prius Prime,40765,Toyota,188,2142.29372384984
2020,Tesla Model X,33528,Tesla,150,1709.2769073270001
